home,score,away,year
Netherlands,3–1,United States,2022
Argentina,2–1,Australia,2022
France,3–1,Poland,2022
England,3–0,Senegal,2022
Japan,1–1 (a.e.t.),Croatia,2022
Brazil,4–1,South Korea,2022
Morocco,0–0 (a.e.t.),Spain,2022
Portugal,6–1,Switzerland,2022
Croatia,1–1 (a.e.t.),Brazil,2022
Netherlands,2–2 (a.e.t.),Argentina,2022
Morocco,1–0,Portugal,2022
England,1–2,France,2022
Argentina,3–0,Croatia,2022
France,2–0,Morocco,2022
Croatia,2–1,Morocco,2022
Argentina,3–3 (a.e.t.),France,2022
